Incident Type,Location,Date Reported,Time Reported,Case #,Notes,Incident Occurred Between,Int. Ref. #,Disposition
THEFT,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HIGHLANDER:THE SHOP AT MACALESTER,5/31/2019,04:50 PM,MAC-19-0305,Security responded to a phone call concerning a stolen wallet in the Lampert Building.,5/31/2019 04:50 PM and 5/31/2019 05:10 PM,,
THREATS : TERRORISTIC,OFF CAMPUS (NON-CLERY),5/28/2019,11:17 PM,MAC-19-0301,Follow up on threat report received by security.,5/28/2019 07:00 PM and 5/29/2019 05:00 PM,,FINAL
THREATS : TERRORISTIC,OFF CAMPUS (NON-CLERY),5/28/2019,10:59 PM,MAC-19-0300,Security received a report from student living off campus regarding threats.,5/28/2019 10:59 PM and 5/28/2019 10:59 PM,,
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : KAGIN PLAZA,5/28/2019,03:30 PM,MAC-19-0303,"Security was informed of stolen bike tires at the northwest side of Markim Hall bike rack. Between the hours of 0900 and 1530 
hours. On May 28TH, 2019.",5/28/2019 03:30 PM and 5/29/2019 02:00 PM,,
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,5/27/2019,07:00 AM,MAC-19-0298,Security Officer observed on video an unknown person removing bicycle from campus bike racks.,5/26/2019 03:46 PM and 5/26/2019 03:48 PM,,
DAMAGE TO PROPERTY,PUBLIC PROPERTY-CLERY,5/19/2019,09:15 AM,MAC-19-0290,Security was notified that a car parked on a city street near a residence hall had a window smashed.,5/18/2019 07:30 PM and 5/19/2019 03:15 AM,,REFERRED TO OTHER AGENCY
BIAS/HATE INCIDENT (Count 1),MACALESTER CAMPUS,5/18/2019,08:30 AM,MAC-19-0288,It was reported that two students held up white power hand signs during the class photo.,5/17/2019 12:01 AM and 5/18/2019 04:44 PM,,REFERRED TO OTHER DEPARTMENT
BIAS/HATE INCIDENT (Count 2),MACALESTER CAMPUS,5/18/2019,08:30 AM,MAC-19-0288,It was reported that two students held up white power hand signs during the class photo.,5/17/2019 12:01 AM and 5/18/2019 04:44 PM,,REFERRED TO OTHER DEPARTMENT
GRAFFITI (NON-CRIMINAL),MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : MUSIC BUILDING,5/14/2019,04:20 PM,MAC-19-0281,Security Officer Observed Graffiti on walls in Music building,5/14/2019 04:20 PM and 5/14/2019 04:20 PM,,
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : PARKING : EAST 1,5/14/2019,01:01 PM,MAC-19-0279,Security was notified of graffiti on the parking lot sign,5/14/2019 01:02 PM and 5/14/2019 01:02 PM,,
FRAUD,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,5/2/2019,12:26 PM,MAC-19-0253,Security was notified that credit cards were taken from an unattended wallet in the Leonard Center.,4/15/2019 12:30 PM and 4/15/2019 12:30 PM,,CLOSED
THEFT,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : DEWITT WALLACE LIBRARY,5/1/2019,01:57 PM,MAC-19-0271,Security was notified of missing items from the Library,4/14/2019 12:00 PM and 5/4/2019 12:00 PM,,CLOSED
THEFT : FROM MOTOR VEHICLE,ROADWAY : MACALESTER STREET,4/29/2019,12:19 PM,MAC-19-0244,Security responded to a theft of a catalytic converter from a motor vehicle.,4/29/2019 12:19 PM and 4/29/2019 01:02 PM,,
THEFT : MOTOR VEHICLE THEFT,MACALESTER CAMPUS : PARKING,4/29/2019,09:15 AM,MAC-19-0245,Security received a report of a stolen motorcycle from a parking lot.,4/29/2019 01:00 AM and 4/29/2019 01:00 PM,,
SEX OFFENSE: RAPE,HOUSING AND RESIDENCE HALL,4/26/2019,12:00 PM,2019-TIX-08,sexual assault (rape); on-campus/housing,4/26/2019 12:00 PM and 4/26/2019 12:00 PM,134,CLOSED
FIRE : ARSON,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DOTY HALL,4/26/2019,04:55 AM,MAC-19-0240,Fire alarm at Doty Hall.,4/26/2019 04:55 AM and 4/26/2019 05:11 AM,,
DAMAGE TO PROPERTY : ACCIDENTAL,MACALESTER CAMPUS : PARKING : LEONARD CENTER,4/25/2019,02:31 PM,MAC-19-0238,It was reported to security that unknown parties had caused damage to a vehicle in the parking lot-possible hit and run.,4/18/2019 03:00 PM and 4/18/2019 06:00 PM,,
THEFT,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : DUPRE HALL,4/23/2019,03:45 PM,MAC-19-0229,Security responded to a report of a possible theft in a residence hall.,4/23/2019 03:45 PM and 4/23/2019 04:30 PM,,
INFORMATION ONLY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : JANET WALLACE FINE ARTS CENTER,4/22/2019,08:30 AM,MAC-19-0225,Found property belonging to Student Mphatso SIMBAO returned to owener,4/22/2019 08:30 AM and 4/22/2019 08:30 AM,,
BURGLARY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : GEORGE DAYTON DRAPER HALL,4/21/2019,11:20 AM,MAC-19-0223,Security was notified that a wallet was taken from a student's room.,4/20/2019 10:00 AM and 4/20/2019 01:00 PM,,
HARASSMENT,MACALESTER CAMPUS,4/18/2019,06:50 PM,MAC-19-0218,Security was notified of an unwanted person possibly being located on campus.,4/18/2019 06:50 PM and 4/18/2019 07:30 PM,,FINAL
GRAFFITI (NON-CRIMINAL),PUBLIC PROPERTY-CLERY,4/18/2019,10:10 AM,MAC-19-0214,"Graffiti in the alley behind the Breadsmith 1579 Grand Ave, St. Paul, MN 55105.",4/18/2019 10:10 AM and 4/18/2019 10:20 AM,,
FRAUD,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : MARKIM HALL,4/16/2019,04:00 PM,MAC-19-0205,It was reported to security that a wallet was taken from an office and later used.,4/16/2019 08:00 AM and 4/16/2019 01:00 PM,,CLOSED
THEFT,OFF CAMPUS (NON-CLERY) : PUBLIC PROPERTY,4/16/2019,12:25 PM,MAC-19-0207,Security was notified of the theft of a phone.,4/16/2019 12:25 PM and 4/16/2019 12:35 PM,,
DAMAGE TO PROPERTY : ACCIDENTAL,MACALESTER CAMPUS : PARKING : SOUTH PARKING,4/16/2019,12:00 PM,MAC-19-0211,Security responded to a report of damage to a vehicle in the South theater lot.,4/16/2019 09:30 AM and 4/16/2019 12:00 PM,,FINAL
THREATS,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,4/15/2019,05:56 PM,MAC-19-0208,Threatening note and used condom left for Resident Assistant,4/14/2019 10:00 PM and 4/15/2019 06:24 PM,,PENDING INVESTIGATION
DANGEROUS WEAPONS,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : TURCK HALL,4/13/2019,01:28 PM,MAC-19-0199,Security responded to a person with a gun call-found to be delivery driver carrying holstered firearm.,4/13/2019 01:25 PM and 4/13/2019 02:20 PM,,
DAMAGE TO PROPERTY,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : 30 MAC,4/6/2019,07:15 AM,MAC-19-0179,REPORT OF DAMAGE TO PROPERTY (VANDALISM) OF FIRE EXTINGUISHER HOUSING BOX GLASS,4/6/2019 07:15 AM and 4/6/2019 07:45 AM,,
THEFT,MACALESTER CAMPUS : EXTERIOR SPACES,4/4/2019,10:00 AM,MAC-19-0174,Security responded to a report of a theft of a college plaque.,4/4/2019 10:00 AM and 4/4/2019 10:00 AM,,REFERRED TO OTHER AGENCY
FRAUD,OFF CAMPUS (NON-CLERY),4/1/2019,07:50 PM,MAC-19-0167,Security was notified of a suspicious email a faculty member received.,4/1/2019 07:50 PM and 4/1/2019 08:05 PM,,
SEX OFFENSE: RAPE,HOUSING AND RESIDENCE HALL,4/1/2019,12:00 PM,2019-TIX-10,sexual assault (rape); on-campus/housing,4/1/2019 12:00 PM and 4/1/2019 12:00 PM,136,CLOSED
SEX OFFENSE: RAPE,HOUSING AND RESIDENCE HALL,4/1/2019,12:00 PM,2019-TIX-11,sexual assault (rape); on-campus/housing,4/1/2019 12:00 PM and 4/1/2019 12:00 PM,140,CLOSED
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS,4/1/2019,11:48 AM,MAC-19-0166,Investigation Report for Graffiti,UNKNOWN and UNKNOWN,,
INFORMATION ONLY,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : 30 MAC,4/1/2019,11:00 AM,MAC-19-0165,"While responding to an assist in accessing a dorm room, Security Officer observed a bicycle in the 30 MAC bike rack with 
missing parts.",4/1/2019 11:00 AM and 4/1/2019 11:05 AM,,
INFORMATION ONLY,OFF CAMPUS (NON-CLERY),4/1/2019,10:20 AM,MAC-19-0164,Report of lost Macalester employee ID card (Off Campus),4/1/2019 10:20 AM and 4/1/2019 10:25 AM,,
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : EXTERIOR SPACES : BATEMAN PLAZA,4/1/2019,07:00 AM,MAC-19-0162,"Security was notified of Graffiti on the sidewalk in front of the Campus Center ""SUPPORT SURVIVORS"" and on the east wall of 
Olin-Rice ""EXPEL RAPISTS"".",4/1/2019 07:00 AM and 4/1/2019 07:30 AM,,
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : DEWITT WALLACE LIBRARY,4/1/2019,06:30 AM,MAC-19-0161,"Security responded to graffiti on the west side of the library ""EXPEL RAPISTS""",4/1/2019 06:30 AM and 4/1/2019 06:45 AM,,FINAL
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,4/1/2019,05:35 AM,MAC-19-0160,"Security responded to graffiti on the west wall of the Leonard Center ""FUCK RAPISTS"".",4/1/2019 05:35 AM and 4/1/2019 05:45 AM,,FINAL
,MACALESTER CAMPUS,3/31/2019,12:00 PM,2019-TIX-14,stalking; on-campus [various],1/1/2019 12:00 PM and 3/31/2019 12:00 PM,139,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : 30 MAC,3/30/2019,10:00 AM,MAC-19-0171,Security responded to a report from another officer of 2 bicycles stripped of parts.,3/30/2019 10:00 AM and 4/3/2019 08:20 AM,,
DAMAGE TO PROPERTY : GRAFFITI/VANDALISM,MACALESTER CAMPUS : ATHLETIC FACILITIES : NICHOLSON FIELD,3/28/2019,09:00 AM,MAC-19-0155,Security responded to a report of graffiti at an athletic facility.,3/28/2019 09:00 AM and 3/28/2019 09:00 AM,,
DAMAGE TO PROPERTY,PUBLIC PROPERTY-CLERY,3/26/2019,09:30 AM,MAC-19-0120,Security was notified of a broken window at the Meat Shop-non-criminal damage.,3/26/2019 08:45 AM and 3/26/2019 09:00 AM,,FINAL
DISBTURBANCE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HIGHLANDER:THE SHOP AT MACALESTER,3/25/2019,05:12 PM,MAC-19-0144,Security responded to a disturbance in the bookstore- subject gone on arrival.,3/25/2019 04:47 PM and 3/25/2019 04:49 PM,,
THEFT : BICYCLE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : MUSIC BUILDING,3/25/2019,01:15 PM,MAC-19-0142,It was reported to security that a student's bike was missing/stolen from campus.,3/25/2019 01:25 PM and 3/25/2019 01:25 PM,,CLOSED
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : 30 MAC,3/23/2019,08:45 AM,MAC-19-0141,Theft of bicycle parts from bicycle secured and unattended in front of 30 MAC resident hall.,3/23/2019 08:45 AM and 3/23/2019 08:45 AM,,FINAL
THEFT : BICYCLE,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,3/23/2019,06:00 AM,MAC-19-0140,"While reviewing video, Security observed what appeared to the theft of two bikes-owners unknown at this time.",3/23/2019 12:57 AM and 3/23/2019 06:15 AM,,
MOTOR VEHICLE CRASH,MACALESTER CAMPUS : PARKING : WEST 1,3/20/2019,03:45 PM,MAC-19-0136,"SINGLE VEHICLE GOLF CART ACCIDENT, NO INJURIES OR DAMAGE.",3/20/2019 03:40 PM and 3/20/2019 04:15 PM,,
DAMAGE TO PROPERTY : ACCIDENTAL,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : MUSIC BUILDING,3/18/2019,10:18 AM,MAC-19-0131,Found broken clock in Music practice room M126 (1st floor).,3/18/2019 10:18 AM and 3/18/2019 10:20 AM,,
DAMAGE TO PROPERTY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HIGHLANDER:THE SHOP AT MACALESTER,3/16/2019,04:36 PM,MAC-19-0129,Report of cracked window on east door of Highlander Book Store.,3/16/2019 04:36 PM and 3/16/2019 05:00 PM,,FINAL
INFORMATION ONLY,HIGHWINDS PROPERTY,3/16/2019,06:11 AM,MAC-19-0128,Report of possible water outage at Highwinds properties.,3/16/2019 06:11 AM and 3/16/2019 07:08 AM,,
INFORMATION ONLY,MACALESTER CAMPUS,3/15/2019,03:16 PM,MAC-19-0127,Letter received from former student requesting readmission and removal of trespass.,3/15/2019 03:17 PM and 3/15/2019 03:17 PM,,
DAMAGE TO PROPERTY,HIGHWINDS PROPERTY,3/14/2019,05:05 PM,MAC-19-0126,Glass door broken at Jamba Juice,3/14/2019 05:00 PM and 3/14/2019 05:40 PM,,
THEFT : FROM MOTOR VEHICLE,MACALESTER CAMPUS : PARKING,3/12/2019,11:00 AM,MAC-19-0113,Security responded to a report of theft from vehicle at the Summit House.,3/12/2019 10:15 AM and 3/12/2019 10:30 AM,,REFERRED TO OTHER AGENCY
FRAUD,OFF CAMPUS (NON-CLERY),3/9/2019,11:00 AM,MAC-19-0108,Security was alerted to an apparent email fraud.,3/9/2019 11:00 AM and 3/9/2019 11:05 AM,,
THEFT : FROM BUILDING/STRUCTURE,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,3/4/2019,07:20 PM,MAC-19-0098,Stolen White Iphone 8 from Leonard Center female locker room.,3/4/2019 07:20 PM and 3/4/2019 08:10 PM,,FINAL
FRAUD,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : WEYERHAEUSER MEMORIAL CHAPEL,3/4/2019,03:25 PM,MAC-19-0096,Security was informed of a stolen wallet and fraudulent charges on credit cards.,2/28/2019 11:15 AM and 2/28/2019 04:22 PM,,REFERRED TO OTHER DEPARTMENT
THEFT : FROM BUILDING/STRUCTURE,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : WEYERHAEUSER MEMORIAL CHAPEL,3/4/2019,03:25 PM,MAC-19-0096,Security was informed of a stolen wallet and fraudulent charges on credit cards.,2/28/2019 11:15 AM and 2/28/2019 04:22 PM,,FINAL
FRAUD,OFF CAMPUS (NON-CLERY) : PUBLIC PROPERTY,3/4/2019,01:47 PM,MAC-19-0094,Lost or stolen wallet.,3/4/2019 01:47 PM and 3/4/2019 01:52 PM,,REFERRED TO OTHER AGENCY
DAMAGE TO PROPERTY,MACALESTER CAMPUS,3/3/2019,08:10 AM,MAC-19-0093,Damaged interior window to Dupre Hall third floor lounge (room #352).,3/2/2019 07:00 PM and 3/2/2019 07:00 PM,,
MOTOR VEHICLE CRASH,MACALESTER CAMPUS : PARKING : WEST 3,2/28/2019,02:30 PM,MAC-19-0087,Security was notified of a motor vehicle accident that happened on campus.,2/28/2019 09:00 AM and 2/28/2019 12:00 PM,,
THEFT,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLIN-RICE SCIENCE CENTER,2/22/2019,09:10 AM,MAC-19-0075,Security responded to a report of a theft in Olin-Rice.,2/21/2019 09:15 PM and 2/21/2019 09:30 PM,,
MOTOR VEHICLE CRASH,OFF CAMPUS (NON-CLERY),2/14/2019,11:42 AM,MAC-19-0062,Security was notified of a motor vehicle accident involving Macalester ground equipment off campus.,2/12/2019 10:00 AM and 2/12/2019 11:00 AM,,
THEFT,OFF CAMPUS (NON-CLERY),2/12/2019,11:36 AM,MAC-19-0059,Security was notified of a Macalester College owned laptop being stolen off campus.,2/10/2019 07:55 PM and 2/10/2019 09:20 PM,,
INFORMATION ONLY,MACALESTER CAMPUS : ATHLETIC FACILITIES : LEONARD CENTER AND WELLNESS COMPLEX,2/11/2019,02:25 PM,MAC-19-0054,Security officer responded to possible car break in.,2/11/2019 02:30 PM and 2/11/2019 02:40 PM,,
OFFENSIVE ACTION : ELECTRONIC COMMUNICATIONS,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : DEWITT WALLACE LIBRARY,2/7/2019,07:20 PM,MAC-19-0049,Security was notified of a racial slur found on a campus computer desktop.,2/7/2019 07:15 PM and 2/7/2019 07:25 PM,,REFERRED TO OTHER AGENCY
MOTOR VEHICLE CRASH,MACALESTER CAMPUS : PARKING : WEST 1,2/7/2019,04:20 PM,MAC-19-0048,Silent Witness notified me about a hit and run in the West Parking.,2/7/2019 04:15 PM and 2/7/2019 04:20 PM,,
MOTOR VEHICLE THEFT,PUBLIC PROPERTY-CLERY,2/3/2019,10:00 AM,19024116,Auto theft reported through annual statistics request,2/2/2019 05:00 PM and 2/3/2019 10:00 AM,117,CLOSED
FIRE : SMOKE,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : KIRK HALL,2/3/2019,12:18 AM,MAC-19-0034,Unknown person burnt popcorn in lower level kitchen at Kirk Hall.,UNKNOWN and UNKNOWN,,CLOSED
SEX OFFENSE: RAPE,HOUSING AND RESIDENCE HALL,2/1/2019,12:00 PM,2019-TIX-09,sexual assault (rape) & dating violence; on-campus/housing,2/1/2019 12:00 PM and 2/1/2019 12:00 PM,135,CLOSED
BURGLARY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HIGHLANDER:THE SHOP AT MACALESTER,1/29/2019,08:00 PM,MAC-19-0027,It was reported to security that there was a burglary alarm going off in the Highlander store.,1/29/2019 07:47 PM and 1/29/2019 09:30 PM,,
DANGEROUS WEAPONS,MACALESTER CAMPUS : HOUSING AND RESIDENCE HALL : BIGELOW HALL,1/29/2019,11:15 AM,MAC-19-0026,Knife found in Bigelow floor #3 Lounge.,1/29/2019 11:15 AM and 1/29/2019 11:30 AM,,CLOSED
ROBBERY,CAMBRIDGE ST  & GRAND,1/26/2019,03:00 PM,19018669,Annual request for Clery Stats-DPR Request Submitted,1/26/2019 01:00 PM and 1/26/2019 03:00 PM,119,CLOSED
THEFT,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,1/23/2019,08:11 AM,MAC-19-0017,Security observed a bicycle that had both wheels removed at the Dupre racks.,UNKNOWN and UNKNOWN,,OPEN
THEFT : FROM PERSON,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HUMANITIES,1/16/2019,06:30 PM,MAC-19-0010,Security was notified that a wallet was taken.,1/16/2019 06:30 PM and 1/16/2019 07:30 PM,,
THEFT,OFF CAMPUS (NON-CLERY),1/16/2019,08:15 AM,MAC-19-0008,Security was notified that a College owned laptop was stolen in Florida.,UNKNOWN and UNKNOWN,,
GRAFFITI (NON-CRIMINAL),MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : KAGIN COMMONS,1/16/2019,07:52 AM,MAC-19-0009,Graffiti found in Kagin Sub-basement room #033.,1/16/2019 07:52 AM and 1/16/2019 07:52 AM,,
THEFT,MACALESTER CAMPUS : EXTERIOR SPACES : BIKE RACKS : DUPRE,1/9/2019,02:00 PM,MAC-19-0005,Security observed the theft of a bicycle wheel while reviewing security footage.,12/31/2018 01:12 PM and 12/31/2018 01:18 PM,,OPEN
