Incident Type,Location,Date Reported,Time Reported,Case #,Notes,Incident Occurred Between,Int. Ref. #,Disposition
BURGLARY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HUMANITIES,4/4/2018,08:05 AM,MAC-18-0007,It was reported to security that a camera was taken from an office,4/3/2018 03:00 PM and 4/4/2018 08:00 AM,,
BURGLARY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : HUMANITIES,4/3/2018,09:27 AM,MAC-18-0006,It was reported to security that a laptop was taken from an office,4/2/2018 04:00 PM and 4/2/2018 04:00 PM,,CLOSED
ASSAULT,ROADWAY : SNELLING AVENUE,3/21/2018,03:40 PM,MAC-19-0463,Domestic assault arrest reported by MTC Police through Data Practices Request.,3/21/2018 03:40 PM and 3/21/2018 03:40 PM,,ARRESTED
DOMESTIC VIOLENCE,ROADWAY : SNELLING AVENUE,3/21/2018,03:40 PM,MAC-19-0463,Domestic assault arrest reported by MTC Police through Data Practices Request.,3/21/2018 03:40 PM and 3/21/2018 03:40 PM,,ARRESTED
BURGLARY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLD MAIN,3/20/2018,10:52 AM,MAC-18-0005,It was reported to security that two laptop computers were taken from an office.,3/20/2018 10:52 AM and 3/20/2018 10:52 AM,,CLOSED
BURGLARY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLIN-RICE SCIENCE CENTER,3/19/2018,09:20 AM,MAC-18-0004,,3/14/2018 05:00 PM and 3/19/2018 09:45 AM,,CLOSED
BURGLARY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLIN-RICE SCIENCE CENTER,3/19/2018,09:02 AM,MAC-18-0003,It was reported to security that money and an access card were taken from an office.,3/19/2018 09:02 AM and 3/19/2018 09:20 AM,,CLOSED
BURGLARY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLIN-RICE SCIENCE CENTER,3/15/2018,01:00 PM,MAC-18-0002,,3/14/2018 11:30 AM and 3/15/2018 12:00 PM,,
BURGLARY,MACALESTER CAMPUS : ACADEMIC AND ADMINISTRATIVE : OLIN-RICE SCIENCE CENTER,3/15/2018,11:15 AM,MAC-18-0001,Security was notified that a set of keys were taken from a desk drawer,3/14/2018 02:30 PM and 3/15/2018 08:15 AM,,CLOSED
THEFT : MOTOR VEHICLE THEFT,ROADWAY : ST. CLAIR AVENUE,2/8/2018,07:11 PM,MAC-18-0009,It was reported to security that a vehicle was taken from St. Clair Avenue,2/8/2018 07:43 PM and 2/8/2018 08:40 PM,,CLOSED
